Baseline (mV),Mem Tau Min (ms),Mem Tau Deltav (ms),Baseline Stability,Threshold (ms),Threshold (mV),HW Left (ms),HW Right (ms),HW (mV),FW Left (ms),FW Right (ms),FW (mV),AUC,AUC Left,AUC Right,Min Velocity (ms),Min Velocity,Max Velocity (ms),Max Velocity,AHP (ms),AHP (mV),Spike (ms),Spike (mV),Rheobase (pA),HW (ms),FW (ms),Sag (mV),Sag (ms),FI Midpoint,FI Slope,FI Max Gain,FI Max Current,Delta V (mV) Membrane Resistance,AUC Vscale,AUC Offset,Max Freq (Hz),Resting Potential (mV),cell_type
-73.56916114253974,61.75,30.83333333333333,0.5639159441114194,650.85,-32.78798860784902,651.2012356796845,651.6998946333645,1.144312583339092,650.85,651.975,-32.78798860784902,343.9360362464886,126.7263212456168,217.2967997517713,651.65,-16.18045185122869,651.175,28.02802693677232,665.525,-49.1246616444747,651.375,35.11564612146255,200.0,0.4986589536800352,1.124999999999972,-0.2748911128225942,4290.75,311.9383927952093,54.4038917671737,0.09888293935646963,311.9119119119119,90.67436053441799,8.583674247180772,344.0301598934909,45.71428571428572,12.1,MSN
-75.28601214331859,52.08333333333334,41.08333333333334,0.4814478818188669,553.125,-32.99353304594926,553.46868997948,553.9885259049728,2.066712980730324,553.125,554.33,-32.99353304594926,373.5778300782007,132.8251936844515,240.8098899725964,553.85,-13.67280912623331,553.45,29.73815509655329,565.25,-53.46576104313121,553.65,37.18753266058368,150.0,0.5198359254928135,1.204999999999998,-0.4911458495143251,4264.0,240.516199283185,54.58876486425649,0.1027530938881416,240.6406406406407,132.6806167177018,2.230825171467546,394.9241563997633,55.00000000000001,10.7,MSN
-70.08229389666211,52.75,46.75,0.4101860425806815,712.45,-31.99047621402499,712.7753570016346,713.3205283619521,5.37757085646782,712.45,713.6274999999999,-31.99047621402499,407.90628713181,151.0252474856653,256.9736452858571,713.275,-14.72519731324319,712.725,33.90659604083898,725.325,-53.77818866326335,712.975,42.77833746072184,125.0,0.545171360317596,1.17749999999991,-0.1573515036412338,4518.0,236.9719676933237,55.03951586844232,0.1038227177607567,237.037037037037,147.0563133087894,5.940058704241633,414.8633621839213,55.71428571428572,9.7,MSN
-72.924008683906,36.0,29.0,0.4678094404624925,509.575,-33.62660988985205,509.9222479275844,510.4470119244547,1.752453360068586,509.575,510.7125,-33.62660988985205,371.6261410887411,147.3776292273732,224.3427623438517,510.375,-16.49287858478101,509.875,33.1255282957077,518.55,-50.95811836693167,510.125,37.16286734902693,150.0,0.5247639968703766,1.137499999999989,-0.2258943204259225,4070.0,231.9483630217554,51.39639822492869,0.1199297216951187,231.8318318318318,103.0349204238386,-7.860909556889195,407.1179027144014,61.42857142857143,11.6,MSN
-75.12679079337254,31.25,24.5,0.4389673691759117,669.95,-26.44899858958128,670.2853670841446,670.8240343574251,6.468864665878431,669.95,671.135,-26.44899858958128,360.2797507969848,145.0346976515997,215.3174423808179,670.75,-13.53303946582534,670.25,27.32917536290534,682.9,-48.40114510170282,670.5,39.41563282910666,337.5,0.5386672732805664,1.185000000000031,-0.2498213830740461,4589.0,352.5620318690407,20.19602639083672,0.0756196774884823,352.7527527527528,63.19384647480452,1.13744949329171,375.2002433165931,13.92857142857143,9.0,MSN
-73.09860014717944,60.91666666666666,50.33333333333334,0.5329360253684315,643.05,-35.48055537648615,643.3779740110698,643.9334730416389,-1.379004338872788,643.05,644.2325,-35.48055537648616,382.4557343248329,138.5633497022583,243.9495488366862,643.875,-14.02443503923175,643.35,26.91441796822487,652.7,-55.62117155183611,643.575,32.76731265380039,187.5,0.5554990305691092,1.182499999999976,-0.04774361470187927,4075.25,270.8066230755757,45.92291239343034,0.1067851269966216,270.6706706706707,112.2064581174478,,,47.5,9.3,MSN
-73.9814033989362,50.91666666666666,43.08333333333334,0.668210325336813,736.2,-34.39542853004134,736.5844993785757,737.2272151719961,1.77913423632052,736.2,737.5725,-34.39542853004134,469.2040789631004,196.1486077697905,273.1043126010101,737.125,-13.16948537525206,736.55,23.83167251356187,750.475,-56.00754262651351,736.85,37.97098392104684,162.5,0.6427157934203933,1.372500000000002,-0.2661633375028956,4441.5,266.1494390893632,51.32571123760922,0.08189615922607985,266.2662662662663,104.5860376767881,1.452295255989483,484.6811632349128,40.0,13.5,MSN
-73.62316937102972,71.33333333333333,62.33333333333334,0.3228094529837669,678.925,-34.06660217220794,679.2925880513304,679.9971097855246,1.896692938864096,678.925,680.375,-34.06660217220794,508.3976159759731,172.1461010514529,336.3063280543013,679.9,-11.27873550389548,679.225,24.70306474366758,688.075,-57.39683438042643,679.525,37.9052187395299,150.0,0.7045217341941452,1.44999999999996,-0.1748518949775466,4880.5,239.4239356145291,52.31775963970458,0.08006925197547154,239.4394394394395,153.949723216784,,,41.42857142857143,9.9,MSN
-72.73550605846161,56.25,52.08333333333334,0.3178316817481722,476.825,-38.60440557507947,477.1916856895637,477.9726313857557,0.1384960573979317,476.825,478.42,-38.60440557507947,607.3290891960843,205.9552933873902,401.421974621957,477.9,-10.88003463082459,477.15,26.93908079800647,484.375,-54.51138232652794,477.45,38.92868958420445,206.25,0.7809456961919565,1.594999999999963,-0.1518759664742397,4815.75,199.0924624334826,48.90384592051749,0.1060265498420119,198.998998998999,150.9623673168821,5.399109695660368,669.8789832618829,48.57142857142858,10.3,MSN
-72.02556467283155,41.0,32.41666666666666,0.3006558619091769,690.95,-39.8703870293982,691.3852108870467,692.1960997136084,1.158120780426207,690.95,692.6175000000001,-39.8703870293982,668.0341212585405,282.0374258249321,386.0537090441747,692.125,-12.19944922487622,691.325,23.56861411706747,696.35,-57.51192364318238,691.7249999999999,42.19639765949448,187.5,0.810888826561694,1.66749999999999,-0.1796768987434021,4681.5,282.7466440640367,49.27535875128077,0.0835033879673368,282.6826826826827,94.03671236773327,7.962761142133769,679.2805605094591,38.21428571428572,12.4,MSN
-72.3711166400321,41.08333333333334,34.5,0.4065984510398387,810.275,-27.70693041809903,810.6190919414244,811.195016729168,5.339135156463737,810.275,811.5,-27.70693041809903,383.1839547930246,155.1229374138144,228.1430861920067,811.1,-13.01506752953761,810.575,25.21618044525253,820.375,-49.50286347069787,810.85,38.40435490159597,200.0,0.5759247877435882,1.224999999999994,-0.2631977266617831,4269.75,307.6725678836032,47.59448695491972,0.09106805476971935,307.5075075075075,112.1591621461413,1.999778939815358,405.5455591288994,38.57142857142858,12.4,MSN
-69.80090162647981,66.33333333333333,62.83333333333334,0.6005199245960795,725.325,-34.6050014001013,725.7120460908047,726.3949714740935,0.6575314185721606,725.325,726.8125,-34.6050014001013,491.0578288512559,174.0977171292525,317.0157159781807,726.3,-10.95962469451473,725.7,23.91713971428154,737.3,-54.20572119913589,725.95,35.95426687421329,112.5,0.6829253832886764,1.487500000000011,-0.1551232361426997,4891.5,199.0818978666187,45.6443446271417,0.1150005101949994,198.998998998999,184.7590722223739,,,53.21428571428572,10.4,MSN
-73.01012720966409,45.91666666666666,42.41666666666666,0.4359614723504288,619.425,-32.69754905535676,619.7738013153923,620.3539950633997,2.683786775388254,619.425,620.6800000000001,-32.69754905535676,414.8871630548742,164.8343622750104,250.1256474820719,620.25,-13.41793458325794,619.7249999999999,28.11024585690494,626.75,-51.41031621835084,620.0,38.0919275672077,225.0,0.5801937480073036,1.254999999999995,-0.2410391839925587,4467.25,294.5389260728626,42.7122566425744,0.08354483610228591,294.6946946946947,108.5750519598626,-18.29419576655048,511.0578828083446,33.57142857142858,10.6,MSN
