Acquisition,Amplitude (pA),Est Tau (ms),Timestamp (ms),Rise Time (ms),Rise Rate (pA/ms),IEI (ms)
121,14.64399997803493,3.57103560131236,1254.6,2.0,10.74203416180796,780.3000000000002
121,6.252657412089899,1.456932694728312,8019.5,1.0,8.14840146132816,241.1000000000004
121,6.799433628937738,2.226023867997719,5920.6,1.9,3.286509866856918,2098.9
121,7.313384085103714,2.25216826703836,5808.2,1.1,9.08092507131276,112.4000000000005
121,11.73437369483005,3.146823133477301,5791.9,2.6,4.292949712167302,16.30000000000018
121,7.278733405648335,7.000705580543581,5709.8,2.1,4.532838877631907,82.09999999999945
121,8.77390772590958,4.540722739636294,890.4,1.1,10.79401589116117,73.30000000000007
121,37.12756415320308,5.894020214610464,963.7,1.5,35.14194284647582,290.8999999999999
121,19.88214775769481,3.619219758774852,8260.6,1.3,19.99636616564483,
121,29.7726988506172,5.732665304421244,2034.9,1.5,27.52506834579062,3482.1
121,6.144066307112756,5.19183197090606,5517.0,2.0,3.434966852647587,192.8000000000002
122,15.03840103337212,4.62272660918934,1882.6,1.3,15.62073155542209,3143.2
122,5.889552765769568,5.503938181170088,9124.6,1.0,7.916064130881041,
122,9.518072189814042,4.115083301982668,5025.8,1.3,9.499257223916315,4098.8
122,20.59157623665099,6.293552088232039,18.0,1.5,18.53951999337593,1864.6
123,22.00715287341016,6.520273928510141,1317.4,1.6,18.34642059397703,1066.8
123,6.220976540319502,3.68115391471656,7677.2,1.7,4.960987245157506,1653.8
123,21.19196138357815,5.913706612835813,9331.0,1.4,21.35445141258898,
123,6.350472741824334,3.571099305418829,2384.2,2.2,2.936593439824702,5293.0
124,9.34411911749083,3.584104211243539,2459.3,2.3,4.736304886418524,5266.7
124,16.15972515941899,5.765706609419612,1599.1,2.9,7.035637077899468,631.8000000000002
124,10.2730484240085,9.297264309378807,2230.9,2.5,3.70448539267149,228.4000000000001
124,28.04997796407541,8.44657648923312,9733.5,1.6,24.68974699399646,
124,12.71969206720595,8.938705444915104,7726.0,1.3,13.36272252270653,2007.5
125,9.941506508664272,4.314391894100845,2184.9,1.2,10.94534937384943,956.0999999999999
125,7.173365714079704,4.462161290206131,2078.6,1.5,6.21302065579071,106.3000000000002
125,6.967908665144916,1.937171369553653,1411.2,1.5,6.047286734832983,667.3999999999999
125,7.883805527069904,5.935037722027846,852.4,2.8,3.010397195858439,558.8000000000001
125,20.34952949857363,4.490438878428586,242.0,2.3,11.71323695562688,610.4
125,11.49308468778096,5.881705020366644,5800.8,1.3,11.62199635320865,3928.2
125,8.681869748104596,4.817391346894146,5682.0,1.2,9.552314743668376,118.8000000000002
125,25.93706384124914,2.866243737233162,9729.0,1.6,22.33698674888468,
125,23.69675972599767,4.417097834608649,3141.0,1.4,22.0963292057326,1787.8
125,32.87716798062456,5.623471620409691,4928.8,1.6,28.38813622016658,753.1999999999998
126,25.48671184591004,5.292545851580508,7193.3,1.3,25.63150763142156,1712.099999999999
126,4.885337343587452,5.474906327690405,2904.3,2.8,1.286803116832436,4289.0
126,15.46861783628273,4.620655244386739,189.2,2.2,9.090782286173237,2715.1
126,9.640202006964058,4.557335249807511,9762.9,1.2,11.0146905975849,
126,22.75015126273887,5.744887365783507,8905.4,1.5,21.25108404811814,857.5
127,11.82243532628462,3.104511493737209,114.9,1.4,11.82100239884355,1803.7
127,14.17321657427713,5.952385499380034,1918.6,1.5,12.95204894134181,3075.8
127,6.720842496203134,4.467772701727517,5031.2,2.4,1.818959850793408,1102.900000000001
127,26.54203046659896,5.377012397359795,6134.1,1.5,23.84462780312755,3581.699999999999
127,8.990748333916002,8.513400191506662,9715.8,1.7,7.345231598753502,263.1000000000004
127,6.515896354283416,3.849930427530489,9978.9,1.3,6.646351873216876,
127,15.0423848476845,7.363137293441104,4994.4,1.6,13.05620127882838,36.80000000000018
128,26.61246844258816,5.461781702744338,2639.2,1.5,24.73977190070513,
129,15.81380905687381,9.06557698083643,504.9,1.2,17.61967090831692,2380.8
129,9.51030460387435,3.023112637766462,9611.1,1.5,8.98241606158078,
129,9.384118291802896,3.483833575517929,9555.9,1.4,9.08914503632558,55.20000000000073
129,7.244541403734485,7.935774323790975,8407.5,1.5,5.928548028366985,1148.4
129,19.64531255211424,7.309838289969048,6275.5,1.5,18.33603983168291,2132.0
129,7.520643392409968,6.736932773586886,5836.2,1.5,6.646829434511149,439.3000000000002
129,33.46123921744804,5.861728944266588,155.4,1.6,29.50115996176644,349.5
129,39.82150337009937,5.312143753043347,4827.9,1.6,34.36816202516237,1008.3
129,8.004527573749826,3.985465998107975,2885.7,1.8,5.514001934608684,1942.2
130,11.46239082389037,4.916923854044581,7818.9,1.4,11.0564949877801,10.40000000000055
130,10.55847957581216,4.075566847879236,5812.1,2.3,4.222860389631579,811.0
130,18.9977012033608,7.008980697553488,6623.1,1.9,13.36050285528555,1195.799999999999
130,25.56085826717828,4.36606724295707,7829.3,1.5,23.44768989244412,631.3000000000002
130,7.412369055905076,6.735445420691394,8460.6,3.7,1.304767038590644,1367.699999999999
130,32.34711529559809,7.152701447527216,9828.3,1.4,31.75979852465659,
130,23.96300092222137,5.659849858907546,5579.1,1.5,21.58351173613481,233.0
130,17.27693899174889,5.374753127698204,3341.6,1.5,15.70881918688461,1851.2
130,7.504903424268322,5.141633469935186,5192.8,3.1,2.943089951226584,386.3000000000002
130,31.05736372878938,5.958037030177001,1815.3,1.7,24.6578352679278,981.1000000000001
130,22.53618930867687,7.156739477151495,944.7,2.5,11.30705449974419,870.5999999999999
130,18.25284606868127,4.106433247874156,2796.4,1.7,14.87128475816975,545.1999999999998
131,18.36955981912877,6.419483274749655,9709.3,1.4,17.47622161543539,
131,8.271665759268837,5.515473180725531,8163.9,1.6,7.0965988027611,1545.4
131,12.60821996703824,6.289607124845498,7460.0,2.3,7.702567377939475,703.8999999999996
131,18.38228630853657,6.431555306412338,6683.6,2.2,10.37031700686807,776.3999999999996
131,25.51137290991512,7.809098426153651,5759.0,1.7,21.15417957815097,924.6000000000004
131,18.22019741651465,9.845812359089177,1795.2,1.5,17.03381104708114,2782.5
131,16.29597843794776,2.766267494792555,4577.7,1.5,15.04228902560931,1181.3
131,6.607225639619038,4.706153586731671,1029.7,2.4,2.079333268957354,765.5
132,20.09953040793723,5.581879362647305,9547.0,1.4,20.362225343483,82.89999999999964
132,10.05716055044067,6.284820477593167,9629.9,1.7,8.102057334233615,
132,18.6302658977649,5.035231649425259,5311.2,1.6,15.52719201030336,2851.3
132,14.5180620006151,5.869332373499856,1744.3,1.7,10.97826233647042,1286.8
132,21.27350058782696,4.889144345591921,3031.1,2.4,12.387253269295,801.3000000000002
132,8.9741259774332,2.422736516548321,3832.4,1.4,8.872279509371152,88.69999999999982
132,20.29850677355436,5.65612242540301,3921.1,1.7,16.26335929749633,1390.1
132,7.361183123538976,3.285655423774733,8162.5,2.0,4.821707991382201,1384.5
133,15.3829317489922,7.717626842795289,8264.5,1.3,16.41079569000368,
133,6.363961957406866,3.319567350071156,7124.3,2.2,2.123621904630621,1140.2
133,16.21247236431262,6.054272606464655,5590.7,1.3,16.42292156856207,1533.6
133,13.43314427810216,6.363500618376657,557.7,1.4,13.66436247509336,5033.0
134,6.785808030917399,3.786143673066545,4859.2,2.6,2.894428638720759,1729.5
134,18.1616899032754,4.343896758450137,9304.6,1.3,18.73661271088987,
134,17.86212737375808,9.57531331289647,9174.4,1.6,15.98960210685362,130.2000000000007
134,25.105725867173,3.905497266101884,9047.4,2.3,13.86081571080089,127.0
134,9.103501238145366,8.535737253630941,6588.7,2.9,2.334659670644052,2458.7
134,21.48674992302297,5.278733243326497,2961.4,1.4,21.07451934780072,1277.4
134,22.66554503596662,5.224271537344611,4561.9,2.0,15.70398953741194,297.3000000000002
134,23.64407017015101,4.921673371196084,4238.8,2.6,12.93247179082998,323.0999999999995
135,7.320710749432267,2.223327841574792,4922.7,1.2,8.519321321801284,795.0
135,8.47010422951431,2.107882141833398,4104.1,1.9,5.665533088047463,818.5999999999995
135,24.91781025675559,5.960942806403182,5717.7,1.6,21.57518990026244,1705.0
135,15.76206650587132,3.901238655323687,7422.7,1.6,13.45964087981603,1157.3
135,8.901717910025376,5.737175176838354,8580.0,1.6,6.694297395789835,
135,35.34856807416435,4.364356168238373,2360.4,1.6,29.65383024706452,1743.7
135,14.74827044365304,5.797763993816625,1983.8,2.1,9.868968284013887,376.6000000000001
135,7.248336878147461,4.39311175226685,523.8,2.2,4.916515709983435,235.7
135,13.8721197954514,3.43258159648376,759.5,1.3,14.72975254789295,1224.3
136,27.0891367363751,7.136738503009838,8779.2,1.8,20.50016327086039,
136,6.32474018456219,3.739421120614133,3474.3,1.6,5.300252867464237,5304.900000000001
136,14.23377952219878,6.729690170084905,1433.6,1.3,14.65216930741773,2040.7
136,7.603800862482615,6.395455207693158,867.1,2.8,3.235060907536139,220.3000000000001
