Reagent,Molar Mass (g/mol),Concentration (mM),g per 1 L
Sodium Bicarbonate,84.01,25,2.10
NaCl,58.44,125,7.31
Sodium Phosphate monobasic monohydrate,137.99,1.25,0.172
KCl (1M liquid stock),74.56,2.5,2.5 mL
Glucose,180.2,12.5,2.25
MgCl2 6*H2O (1M liquid Stock),203.3,1-4,1-4 mL
SrCl2 6*H2O (1M Stock),266.62,3-4,3-4 mL
