Baseline (mV),Mem Tau Min (ms),Mem Tau Deltav (ms),Baseline Stability,Threshold (ms),Threshold (mV),HW Left (ms),HW Right (ms),HW (mV),FW Left (ms),FW Right (ms),FW (mV),AUC,AUC Left,AUC Right,Min Velocity (ms),Min Velocity,Max Velocity (ms),Max Velocity,AHP (ms),AHP (mV),Spike (ms),Spike (mV),Rheobase (pA),HW (ms),FW (ms),Sag (mV),Sag (ms),FI Midpoint,FI Slope,FI Max Gain,FI Max Current,Delta V (mV) Membrane Resistance,AUC Vscale,AUC Offset,Max Freq (Hz),Resting Potential (mV),cell_type
-75.20862146387887,35.75,29.8125,0.2302064890182383,884.1,-30.26043765426163,884.4572677411397,884.9523727823821,-6.788301339687524,884.1,885.1766666666666,-30.26043765426163,234.2972971915926,104.2284616458586,130.1497484266437,884.9,-11.79389878443268,884.4333333333334,17.70180781055373,887.1666666666666,-56.34732994475303,884.6666666666666,16.71786210088102,383.3333333333333,0.4951050412423683,1.076666666666673,-0.9078098403603221,3802.25,377.1554697461174,2.73305919141914,0.4178948782217646,377.1771771771772,102.9346599012117,10.40436801522329,261.2068359454456,11.42857142857143,-66.3,PV
-72.8691636927554,47.9375,38.375,0.4132758507365868,851.8,-31.28801985921655,852.1547832177546,852.5869509862299,-1.324218453705805,851.8,852.79,-31.28801985921655,261.6303344813732,95.80581415536301,165.922956344449,852.5,-16.63038116582955,852.1,27.26790882417531,853.6,-59.35335184624083,852.3,28.78851798097723,287.5,0.4321677684753809,0.9899999999999523,-1.413746615351013,3827.0,346.3032259221342,26.58437659979165,0.2292131743810799,346.3463463463464,131.5883783733422,12.78213590891284,272.1198826762604,54.64285714285715,-68.9,PV
-74.91330918867291,37.0,31.25,0.1310824069525436,820.1333333333333,-30.64406833959773,820.4723767913405,821.0038622647457,-6.748777337104406,820.1333333333333,821.25,-30.64406833959773,254.4014252682258,112.2319361331181,142.2334344516249,820.9666666666667,-10.93895098783086,820.4333333333334,18.61156094771848,822.8666666666667,-55.51430293987789,820.6999999999999,17.200140345155,375.0,0.5314854734052309,1.116666666666636,-1.016201838432195,3815.0,391.2203880680074,13.28491602141088,0.1183245620672841,391.1911911911912,104.4816258797607,10.87914447427775,263.9518909701387,10.35714285714286,-68.8,PV
-73.46376821342983,26.25,21.4375,0.1478613085534003,744.3666666666667,-34.16250993071053,744.7165318701121,745.1257149383591,-3.949170651642471,744.3666666666667,745.32,-34.16250993071053,249.3619955323482,95.4912486723723,154.0466179250103,745.0666666666666,-18.15120371785236,744.6666666666666,27.67620152596617,746.1333333333333,-59.15331574565079,744.8666666666667,26.3305434640344,358.3333333333333,0.4091830682470648,0.9533333333333758,-0.6874607181820558,3840.0,394.3467016880945,17.6159868686295,0.09798623251131922,394.3943943943944,94.53805863561635,1.746077678519196,244.6712973682602,10.0,-72.0,PV
-73.91766632257875,32.75,27.0625,0.3274763107656241,894.425,-30.53994001647595,894.7584566174843,895.2340796805504,-5.136871278517218,894.425,895.4325,-30.53994001647595,241.7079490139085,102.7784248263378,139.0602323508332,895.175,-13.90934676505701,894.725,19.66380371776241,896.475,-59.7972675953161,894.95,20.4034541470622,300.0,0.4756230630660809,1.007500000000022,-1.055145994827672,3841.75,351.3604346666414,25.02847579724789,0.2386913404135704,351.5515515515516,123.4872562465085,11.30825380601445,251.5282636417104,52.50000000000001,-68.3,PV
-73.88183531604169,46.0625,34.1875,0.3545387977614058,522.375,-36.35194514137906,522.7035144178643,523.1201159478279,-2.080777111173277,522.375,523.3275,-36.35194514137906,287.8211999954857,138.08028465098,149.873914937405,523.05,-19.10479837205895,522.65,30.83567227719748,524.15,-63.03620845172463,522.9,32.2165291089788,275.0,0.4166015299635859,0.9524999999999721,-1.432227952705613,4057.25,341.0909735965222,17.07782059889164,0.2387243823616103,341.1411411411411,126.7286372534581,4.877601888105811,286.4353246813789,41.07142857142857,-71.1,PV
-74.33702096469135,41.625,36.4375,0.1605072738566352,377.275,-32.48001525683735,377.5800646631836,378.0602117682107,-3.466138430260374,377.275,378.305,-32.48001525683735,277.3447356538161,115.3852144635216,162.1057902239305,378.025,-13.51475549405232,377.55,24.39067920455378,379.5,-57.09266991992344,377.775,25.58246425940831,381.25,0.4801471050270436,1.030000000000001,-0.9986515733698624,4087.5,377.6346133738613,2.729011585747684,0.7585438450902195,377.5775775775776,114.4745044455167,14.69029530033189,282.888931844319,20.71428571428572,-65.6,PV
-74.92186626380469,33.75,29.0625,0.1890207188686877,685.6,-26.02953944204063,685.9188193769018,686.4073375621791,-3.514195022334186,685.6,686.6366666666667,-26.02953944204063,219.3795207501855,84.30091617836625,135.1279086808504,686.4,-11.0704815141351,685.9,18.09639818980381,688.6999999999999,-50.8120849577376,686.1,19.07444886359101,400.0,0.4885181852773333,1.036666666666671,-0.5548194582730268,3662.75,404.8932302252043,2.374062550877482,0.7506569546271376,400.0,102.9721386245325,12.64865598353436,231.4672313973131,5.357142857142858,-70.2,PV
-74.80450653958522,33.0,27.875,0.497443870158136,751.025,-35.29148023112626,751.3796389989542,751.7919452595825,-8.437811199032915,751.025,751.975,-35.29148023112626,222.4529270668543,94.3373602008072,128.2638755059342,751.725,-16.90166509233941,751.325,24.13584219642161,752.9,-61.01392555145325,751.55,18.47160108437532,225.0,0.4123062606282701,0.9499999999999886,-0.8473930370262579,3847.75,304.0850892219925,37.93139300787763,0.2258411596804208,303.9039039039039,146.9621825789097,9.169532315886334,221.0063056542841,82.14285714285714,-71.9,PV
-72.41095035392944,64.5625,49.0,1.464497322003912,657.15,-34.40364915035738,657.480239134557,658.0537709492747,-2.066681078937558,657.15,658.355,-34.40364915035738,373.4062122410939,145.7989072310015,227.6926407830862,657.95,-12.14190454267583,657.45,27.05416969447699,661.2,-65.24756667495359,657.7,30.30933828714178,106.25,0.5735318147177395,1.205000000000027,-3.920664983438748,3686.75,223.4481822254235,57.86708756908572,0.1935347347265406,223.4234234234234,293.1825706924085,14.21724930254025,398.6405382999599,112.1428571428572,-58.8,PV
