Peak (ms),Timestamp (ms),Est Tau (ms),Rise Time (ms),Rise Rate (pA/ms),Amplitude (pA),Fit Amplitude (pA),Fit Tau (ms),Amp Offset (pA),Start (ms),IEI (ms),Acquisition,Holding Current (pA)
1742.8,1742.8,2.090313282619536,1.6,9.836253214341836,15.738005142946937,-15.320273082990594,1.7661946866558342,-0.857114328097115,17385,158.4000000000001,1,-45.16672668427716
1901.2,1901.2,4.3037311708376365,1.6,20.58039546575773,32.92863274521237,-31.322892259330718,3.55989659899879,-1.3489909585263762,18969,188.60000000000014,1,-45.16672668427716
2089.8,2089.8,1.5862882390552842,2.4,2.5871718271402515,6.2092123851366035,-4.957272090893678,0.6060079297763823,-0.8590530883114507,20853,67.19999999999982,1,-45.16672668427716
2157.0,2157.0,1.500949714383387,1.5,3.4151178728387426,5.122676809258114,-4.188975122422604,0.5978870201064725,-0.7321404550327408,21528,175.69999999999982,1,-45.16672668427716
2332.7,2332.7,0.8852611144982803,2.2,2.274900688088778,5.004781513795312,-7.4226665011216415,0.7669782685737196,-0.7046676800517646,23279,118.60000000000036,1,-45.16672668427716
2451.3,2451.3,2.4714658796692675,1.6,25.250281711641467,40.40045073862635,-42.167637059818894,1.9279046619582145,-0.226383987885223,24471,99.19999999999982,1,-45.16672668427716
2550.5,2550.5,2.4824412838766876,1.8,12.65692417144663,22.782463508603932,-22.905825859516888,2.578253433423804,0.2823626711675299,25461,208.0,1,-45.16672668427716
2758.5,2758.5,0.6602400005202071,2.1,2.6568375761543543,5.579358909924144,-6.340013750310429,0.4022304607857591,-0.13320082017545626,27539,739.3000000000002,1,-45.16672668427716
3497.8,3497.8,7.096007921535056,1.7,3.6106102867151875,6.138037487415819,-5.954223208225859,7.326577736654918,2.266933971720434,34935,121.59999999999991,1,-45.16672668427716
3619.4,3619.4,5.0272783844906375,2.4,2.3587033063602965,5.660887935264711,-3.415859522553736,2.4380440600920092,0.6065803748304494,36147,147.5,1,-45.16672668427716
3766.9,3766.9,3.96869666817729,1.9,5.0267950670080275,9.550910627315252,-9.302173616371434,2.6531435209185115,-0.3065720780948699,37624,399.0999999999999,1,-45.16672668427716
4166.0,4166.0,4.165360111571499,2.5,5.106884786473466,12.767211966183664,-9.724446143738518,1.9475293907771976,0.2405501666143856,41612,234.5,1,-45.16672668427716
4400.5,4400.5,5.402035229900503,1.9,9.789697983354761,18.600426168374046,-16.83643528488309,4.300255250758099,0.437690169373376,43961,63.69999999999982,1,-45.16672668427716
4464.2,4464.2,0.9355312943371246,1.6,3.726014131985132,5.961622611176211,-5.718510547423457,0.5772314570331426,0.30351625254812525,44598,205.10000000000036,1,-45.16672668427716
4669.3,4669.3,2.6355519324461056,1.5,41.04186767046764,61.56280150570146,-55.784316189050564,2.1719041740478398,0.7388575950271669,46650,239.89999999999964,1,-45.16672668427716
4909.2,4909.2,2.2450034661007523,1.6,4.513109839406499,7.220975743050399,-6.917234403882407,2.726468779509194,1.114854982733831,49049,303.5,1,-45.16672668427716
5212.7,5212.7,6.278331704720768,2.0,9.040794097705287,18.081588195410575,-20.287330927049336,5.508409056311821,2.12579479836408,52083,68.19999999999982,1,-45.16672668427716
5280.9,5280.9,1.1144592838849348,1.9,8.499467096651227,16.14898748363733,-14.542137992684205,1.2800307170221297,0.9058555411914073,52764,142.0,1,-45.16672668427716
5422.9,5422.9,1.4146387358989159,1.4,14.44676645020442,20.225473030286185,-18.325655075166967,0.9187616317309479,-0.6060429175545904,54186,122.70000000000073,1,-45.16672668427716
5545.6,5545.6,2.6842807662367703,1.6,27.71588853682078,44.34542165891325,-38.99391129291932,2.4179718750536323,-0.9281283051218313,55413,27.899999999999636,1,-45.16672668427716
5573.5,5573.5,6.793638527633448,1.4,11.73060915372243,16.4228528152114,-13.032588186353628,5.380074072512609,-0.3336564050292693,55693,42.80000000000018,1,-45.16672668427716
5616.3,5616.3,4.419164091746643,1.8,9.565006322089848,17.21701137976173,-16.872223715014847,3.544004609960353,0.020439968582489896,56120,117.19999999999982,1,-45.16672668427716
5733.5,5733.5,3.9987548784163662,2.0,6.852331149499804,13.704662298999608,-13.65673525916806,2.966931860056032,0.12218601869405113,57291,291.3000000000002,1,-45.16672668427716
6024.8,6024.8,4.82246387901323,4.1,2.039917677107314,8.363662476139988,-8.498739321443173,4.017572618536516,0.6862474734969963,60194,140.09999999999945,1,-45.16672668427716
6164.9,6164.9,7.924022564898041,3.1,6.443279061740495,19.974165091395534,-19.33012775843126,5.9499539811773685,0.4398430428561443,61597,45.20000000000073,1,-45.16672668427716
6210.1,6210.1,1.2210114117362536,1.9,3.9086833570106063,7.426498378320152,-8.220581609853005,0.8850113580283034,-0.2637339212576617,62056,281.0,1,-45.16672668427716
6491.1,6491.1,3.6429174302225875,1.6,10.98323169816622,17.573170717065953,-16.487610685962103,2.336614958470264,-1.0777926499534811,64868,14.199999999999818,1,-45.16672668427716
6505.3,6505.3,1.3481446284116827,1.5,7.6056320367809045,11.408448055171357,-13.93812174988026,1.262000424370492,0.13183375472328765,65009,137.19999999999982,1,-45.16672668427716
6642.5,6642.5,8.916193545347777,2.6,3.514125634569325,9.136726649880245,-7.632233142415726,5.684013686574568,0.5618505549606089,66380,90.69999999999982,1,-45.16672668427716
6733.2,6733.2,6.536543145983887,1.9,8.836912121904602,16.790133031618744,-18.589152752890787,4.774343330180857,1.1274121994741602,67289,128.30000000000018,1,-45.16672668427716
6861.5,6861.5,1.9679304821795085,1.5,14.12979585123171,21.194693776847565,-18.644306355995322,1.6165434530317233,0.01873916143519602,68572,34.30000000000018,1,-45.16672668427716
6895.8,6895.8,4.778641408019757,1.7,5.711629931111552,9.709770882889638,-9.515373014658973,3.4510441657763438,0.927022121001042,68916,55.0,1,-45.16672668427716
6950.8,6950.8,5.162288409129542,1.5,32.453788488535515,48.68068273280328,-50.158168297098904,5.001004987953651,2.899892779150836,69465,84.0,1,-45.16672668427716
7034.8,7034.8,1.9966645484179026,1.6,14.900546981507015,23.840875170411223,-22.384453365470215,2.0714262918149156,0.6690032884670264,70304,164.09999999999945,1,-45.16672668427716
7198.9,7198.9,3.1170548360561954,1.5,46.805605836538575,70.20840875480786,-63.89650146718018,2.8656904893602024,0.7231746712796474,71946,42.5,1,-45.16672668427716
7241.4,7241.4,3.8787160018706346,1.7,9.058913165218234,15.400152380870999,-14.442971064519762,3.6268351379241177,1.6182878791108042,72370,127.30000000000018,1,-45.16672668427716
